,Release Date,Time,Actual,Forecast,Previous,Unnamed: 5
83,"Mar 14, 2013",12:00,6.84%,6.59%,6.62%,
84,"Feb 14, 2013",11:33,6.62%,7.00%,7.18%,
85,"Jan 14, 2013",12:00,7.18%,7.40%,7.24%,
86,"Dec 14, 2012",12:00,7.24%,7.57%,7.45%,
87,"Nov 14, 2012",11:30,7.45%,7.96%,7.81%,
88,"Oct 15, 2012",11:30,7.81%,7.70%,7.55%,
89,"Sep 14, 2012",11:30,7.55%,6.95%,6.87%,
90,"Aug 14, 2012",11:30,6.87%,7.37%,7.25%,
91,"Jul 16, 2012",12:00,7.25%,7.62%,7.55%,
92,"Jun 14, 2012",12:00,7.55%,7.60%,7.23%,
93,"May 14, 2012",12:00,7.23%,6.70%,6.89%,
94,"Apr 16, 2012",12:00,6.89%,6.70%,6.95%,
95,"Mar 14, 2012",11:30,6.95%,6.79%,6.55%,
96,"Feb 14, 2012",12:00,6.60%,6.60%,7.50%,
97,"Jan 16, 2012",12:00,7.50%,8.10%,9.10%,
98,"Dec 14, 2011",12:00,9.10%,9.50%,9.70%,
99,"Nov 14, 2011",12:00,9.70%,9.50%,9.70%,
100,"Oct 14, 2011",12:00,9.70%,9.40%,9.80%,
101,"Sep 14, 2011",13:00,9.80%,9.20%,9.20%,
102,"Aug 16, 2011",13:00,9.20%,9.10%,9.40%,
103,"Jul 14, 2011",13:00,9.40%,9.00%,9.10%,
104,"Jun 19, 2011",00:30,9.10%,,9.74%,
105,"May 01, 2011 (Apr)",14:30,9.74%,,9.68%,
106,"Apr 01, 2011 (Mar)",14:30,9.68%,,9.54%,
107,"Mar 01, 2011 (Feb)",14:30,9.54%,,9.47%,
108,"Feb 01, 2011 (Jan)",14:30,9.47%,,9.45%,
109,"Jan 01, 2011 (Dec)",14:30,9.45%,,8.20%,
110,"Dec 01, 2010 (Nov)",14:30,8.20%,,9.08%,
111,"Nov 01, 2010 (Oct)",14:30,9.08%,,8.98%,
112,"Oct 01, 2010 (Sep)",14:30,8.98%,,8.87%,
113,"Sep 01, 2010 (Aug)",14:30,8.87%,,9.98%,
114,"Aug 01, 2010 (Jul)",14:30,9.98%,,10.25%,
115,"Jul 01, 2010 (Jun)",14:30,10.25%,,10.48%,
116,"Jun 01, 2010 (May)",14:30,10.48%,,10.88%,
117,"May 01, 2010 (Apr)",14:30,10.88%,,10.36%,
118,"Apr 01, 2010 (Mar)",14:30,10.36%,,9.65%,
119,"Mar 01, 2010 (Feb)",14:30,9.65%,,8.68%,
120,"Feb 01, 2010 (Jan)",14:30,8.68%,,7.15%,
121,"Jan 01, 2010 (Dec)",14:30,7.15%,,4.73%,
122,"Dec 01, 2009 (Nov)",14:30,4.73%,,1.79%,
123,"Nov 01, 2009 (Oct)",14:30,1.79%,,1.40%,
124,"Oct 01, 2009 (Sep)",14:30,1.40%,,0.54%,
125,"Sep 01, 2009 (Aug)",14:30,0.54%,,-0.31%,
126,"Aug 01, 2009 (Jul)",14:30,-0.31%,,-0.39%,
127,"Jul 01, 2009 (Jun)",14:30,-0.39%,,1.45%,
128,"Jun 01, 2009 (May)",14:30,1.45%,,1.21%,
129,"May 01, 2009 (Apr)",14:30,1.21%,,1.65%,
130,"Apr 01, 2009 (Mar)",14:30,1.65%,,3.61%,
131,"Mar 01, 2009 (Feb)",14:30,3.61%,,5.87%,
132,"Feb 01, 2009 (Jan)",14:30,5.87%,,6.68%,
133,"Jan 01, 2009 (Dec)",14:30,6.68%,,8.65%,
134,"Dec 01, 2008 (Nov)",14:30,8.65%,,10.66%,
135,"Nov 01, 2008 (Oct)",14:30,10.66%,,10.78%,
136,"Oct 01, 2008 (Sep)",14:30,10.78%,,11.12%,
137,"Sep 01, 2008 (Aug)",14:30,11.12%,,11.15%,
138,"Aug 01, 2008 (Jul)",14:30,11.15%,,10.89%,
139,"Jul 01, 2008 (Jun)",14:30,10.89%,,8.20%,
140,"Jun 01, 2008 (May)",14:30,8.20%,,7.86%,
141,"May 01, 2008 (Apr)",14:30,7.86%,,7.71%,
142,"Apr 01, 2008 (Mar)",14:30,7.71%,,5.68%,
143,"Mar 01, 2008 (Feb)",14:30,5.68%,,4.54%,
144,"Feb 01, 2008 (Jan)",14:30,4.54%,,4.01%,
145,"Jan 01, 2008 (Dec)",14:30,4.01%,,3.73%,
146,"Dec 01, 2007 (Nov)",14:30,3.73%,,3.19%,
147,"Nov 01, 2007 (Oct)",14:30,3.19%,,3.39%,
148,"Oct 01, 2007 (Sep)",14:30,3.39%,,4.04%,
149,"Sep 01, 2007 (Aug)",14:30,4.04%,,4.42%,
150,"Aug 01, 2007 (Jul)",14:30,4.42%,,4.46%,
151,"Jul 01, 2007 (Jun)",14:30,4.46%,,5.52%,
152,"Jun 01, 2007 (May)",14:30,5.52%,,6.22%,
153,"May 01, 2007 (Apr)",14:30,6.22%,,6.72%,
154,"Apr 01, 2007 (Mar)",14:30,6.72%,,6.63%,
155,"Mar 01, 2007 (Feb)",14:30,6.63%,,6.64%,
156,"Feb 01, 2007 (Jan)",14:30,6.64%,,6.96%,
157,"Jan 01, 2007 (Dec)",14:30,6.96%,,6.73%,
